DATA_YM,AREA_ID,AREA_NM,DIST_CD,DIST_NM,TOTAL_BIDG,FAC_NEIGH_1,FAC_NEIGH_2,FAC_CULT_MTG,FAC_RELG,FAC_RETAIL,FAC_MEDI,FAC_YOSE,FAC_TRAIN,FAC_SPORT,FAC_STAY,FAC_LEISURE,TOTAL_GAS,CMRC_GAS,TOTAL_ELEC
202310,9477,연산동역_6,26470,연제구,142.0,16.0,43.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,236992,140932,1100.704
202307,9525,중앙역_1,26110,중구,144.0,18.0,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,690506,97872,2423.437
202211,10361,청도읍,47820,청도군,268.0,61.0,66.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,13205,12521,335.564
202208,9342,노량진1동,11590,동작구,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,931862,0,2905.038
202308,9561,명곡동,48121,창원시 의창구,94.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1731390,7390,2208.149
202303,9322,포스코사거리_1,11680,강남구,228.0,10.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1625060,400885,2539.92
202208,10097,중앙역,41273,안산시 단원구,65.0,30.0,18.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2013100,1578317,8031.452
202401,9347,총신대입구역_1,11590,동작구,301.0,101.0,75.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1356946,1318332,1964.822
202210,9144,홍대입구역_1,11440,마포구,91.0,10.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,243074,205154,650.058
202410,10221,연무읍,44230,논산시,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.433
202406,9744,강진버스여객터미널,46810,강진군,488.0,182.0,117.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0,13.0,4.0,212851,191400,1087.765
202402,9976,여주군청,41670,여주시,161.0,61.0,32.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,194126,178297,379.37
202312,9915,송탄출장소앞,41220,평택시,210.0,35.0,57.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,713498,636810,1268.252
202308,9405,홍천읍,51720,홍천군,164.0,32.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,281950,171839,435.475
202407,9888,수원시청_1,41115,수원시 팔달구,67.0,7.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1069864,846970,3102.196
202309,9427,원주의료원,51130,원주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
202407,9209,충무로역_2,11140,중구,685.0,215.0,213.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,2.0,2217908,1706456,5790.229
202207,10027,상동역_1,41190,부천시,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1203323,804933,5224.151
202307,9907,수지구청_3,41465,용인시 수지구,105.0,13.0,52.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,356030,295428,2082.549
202301,9225,가산디지털단지역_1,11545,금천구,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2365178,0,9174.439
202208,9854,중앙동_2,45130,군산시,233.0,123.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,45338,45278,394.448
202405,9921,평택역_3,41220,평택시,541.0,176.0,92.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,3.0,1.0,355646,294948,1013.619
202306,9877,영통역_5,41117,수원시 영통구,153.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90895,90895,258.663
202210,10178,구즉동,30200,유성구,88.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26063,26063,243.151
202408,9208,충무로역_1,11140,중구,286.0,77.0,114.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1387455,482455,2003.828
202409,9211,발산역,11500,강서구,56.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68887,45690,271.748
202301,9308,역삼역_2,11680,강남구,60.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,2852870,1214906,3241.803
202410,10093,안산참치골목,41273,안산시 단원구,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103301,0,666.476
202210,9897,팔달문로터리_3,41115,수원시 팔달구,260.0,43.0,105.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,18.0,1.0,202363,186935,915.743
